place,institution,wish name,number of spots,admission percentage,section 1,section 2,subjects 1,subjects 2,subjects 3,international,relative overall average,absolute value overall average,french grade
PARIS,Paris Cité,Licence d'Économie Gestion,215,35,ÉCONOMIE GESTION,,"['Maths', 'MATHS COMPLEMENTAIRES']","['SES', 'MATHS EXPERTES']",[],0,2,3,3
PARIS,Paris Cité,Licence d'Économie et Sciences Sociales,,,ÉCONOMIE GESTION,SCIENCES SOCIALES,"['Maths', 'MATHS COMPLEMENTAIRES']","['SES', 'MATHS EXPERTES']",[],0,2,3,4
PARIS,Université Paris Dauphine,Licence en Sciences des Organisations Paris,600,18,ÉCONOMIE GESTION,,"['Maths', 'MATHS COMPLEMENTAIRES']","['SES', 'MATHS EXPERTES']",[],0,4,5,4
PARIS,Université Paris Dauphine,Licence en Sciences des Organisations Paris Talents,,,ÉCONOMIE GESTION,,"['Maths', 'MATHS COMPLEMENTAIRES']","['SES', 'MATHS EXPERTES']",[],0,4,5,4
LONDRES,Université Paris Dauphine,Licence en Sciences des Organisations Londres,75,30,ÉCONOMIE GESTION,,"['Maths', 'MATHS COMPLEMENTAIRES']","['SES', 'MATHS EXPERTES']",[],1,4,5,4
MADRID,Université Paris Dauphine,Licence en Sciences des Organisations Madrid,35,27,ÉCONOMIE GESTION,,"['Maths', 'MATHS COMPLEMENTAIRES']","['SES', 'MATHS EXPERTES']",[],1,4,5,4
PARIS,Université Paris Dauphine,Licence Mathématiques et Informatique Paris,,,MATHEMATIQUES,INFO. - DATA SCIENCE - IA,"['Maths', 'MATHS COMPLEMENTAIRES']","['PC', 'SES', 'MATHS EXPERTES']",[],0,4,5,4
PARIS,Université Paris Dauphine,Licence Mathématiques et Informatique Paris Talents,,,MATHEMATIQUES,INFO. - DATA SCIENCE - IA,"['Maths', 'MATHS COMPLEMENTAIRES']","['PC', 'SES', 'MATHS EXPERTES']",[],0,4,5,4
PARIS,Université Paris Dauphine,Double Licence Sciences des Organisations et Intelligence Artificielle,,,ÉCONOMIE GESTION,INFO. - DATA SCIENCE - IA,"['Maths', 'MATHS EXPERTES']","['PC', 'NSI', 'SES']",[],0,4,5,4
PARIS,Université Paris Dauphine,Licence en Sciences des Organisations Parcours Franco-Allemand,,,ÉCONOMIE GESTION,,['Maths'],"['PC', 'SES', 'MATHS EXPERTES']",[],1,4,5,4
NANTERRE,Paris Nanterre,Licence d'Économie et Gestion,430,56,ÉCONOMIE GESTION,,"['Maths', 'MATHS COMPLEMENTAIRES']","['SES', 'MATHS EXPERTES']",[],0,3,3,3
NANTERRE,Paris Nanterre,Double Licence d'Économie Gestion - Cursus int. franco-anglais,90,43,ÉCONOMIE GESTION,,"['Maths', 'MATHS COMPLEMENTAIRES']","['LLCE', 'SES', 'MATHS EXPERTES']",[],1,3,3,4
NANTERRE,Paris Nanterre,Licence d'Économie Gestion CMI Data Science for Social Science D3S,,,ÉCONOMIE GESTION,INFO. - DATA SCIENCE - IA,"['Maths', 'MATHS EXPERTES']","['PC', 'NSI', 'SES']",[],0,3,4,3
LILLE,Institut Catholique de Lille,Licence d'Économie - Parcours Économie et Finance,,,ÉCONOMIE GESTION,,[],"['SES', 'MATHS EXPERTES']",[],0,3,3,2
LILLE,Institut Catholique de Lille,Licence Internationale d'Économie Gestion,150,84,ÉCONOMIE GESTION,,"['Maths', 'MATHS COMPLEMENTAIRES']","['LLCE', 'SES']",[],1,2,3,2
LILLE,Institut Catholique de Lille,Licence de Gestion,150,95,ÉCONOMIE GESTION,,"['Maths', 'MATHS COMPLEMENTAIRES']",['SES'],[],0,2,2,2
LYON,EM Lyon,SESAME Global BBA - Bac +4,505,49,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,2,2,2
LYON,EM Lyon,SESAME Global BBA - Bac +4 - Distanciel,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,2,2,2
CERGY PONTOISE,ESSEC,SESAME Global BBA - Bac +4 - Track Anglophone,145,8,COMMERCE,MNGT GENERAL,"['Maths', 'MATHS COMPLEMENTAIRES']","['SES', 'MATHS EXPERTES']",[],1,3,4,3
SINGAPOUR,ESSEC,SESAME Global BBA - Bac +4 - Singapour,,,COMMERCE,MNGT GENERAL,"['Maths', 'MATHS COMPLEMENTAIRES']","['SES', 'MATHS EXPERTES']",[],1,3,5,3
CERGY PONTOISE,ESSEC,SESAME Global BBA - Bac +4 - Track Francophone,270,12,COMMERCE,MNGT GENERAL,"['Maths', 'MATHS COMPLEMENTAIRES']","['SES', 'MATHS EXPERTES']",[],0,3,3,3
RABAT,ESSEC,SESAME Global BBA - Bac +4 - Track Francophone - Rabat,,,COMMERCE,MNGT GENERAL,"['Maths', 'MATHS COMPLEMENTAIRES']","['SES', 'MATHS EXPERTES']",[],1,3,3,3
ARCUEIL,EXCELIA,SESAME BBA international English Track Arcueil - La Rochelle,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,2,2,2
LA ROCHELLE,EXCELIA,SESAME BBA international French Track - La Rochelle,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,2,2,2
GRENOBLE,Grenoble Ecole de Management,SESAME International BBA - Bac +4,100,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,2,2,2
,KEDGE,SESAME International BBA - Bac +4 - Marseille - Paris,150,57,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,2,3,2
,NEOMA,SESAME Global BBA - Bac +4 - Rouen - Reims - Paris,280,53,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,2,3,2
REIMS,NEOMA,SESAME CESEM Double Diplôme Bac + 4 Immersion Europe,85,63,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,2,3,2
REIMS,NEOMA,SESAME CESEM Double Diplôme Bac +4 Immersion Amériques,85,50,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,2,3,2
PARIS,NEOMA,SESAME CESEM Double Diplôme Bac +4 Immersion Asie,50,51,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,2,3,2
TROYES,SCBS,SESAME International BBA - Bac +4,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,1,2,2
,SKEMA,SESAME BBA Bac+4 in Global Management Bac +4 Lille - Valbonne (Sophia Antipolis),350,55,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,2,2,2
PARIS,EBS - ex European Business School,SESAME - Programme Grande Ecole Bac + 5 - French Track,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,4,1,1
,EBS - ex European Business School,SESAME - Programme Grande Ecole Bac + 5 - European Track,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,4,1,1
PUTEAUX,EDC,SESAME - Programme Grande Ecole Bac + 5 - Luxury Management,,,COMMERCE,LUXE MODE,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,4,1,1
PUTEAUX,EDC,SESAME - Programme Grande Ecole Bac + 5 - International Track,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,4,1,1
PUTEAUX,EDC,SESAME - Programme Grande Ecole Bac + 5 - French Track,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,4,1,1
PUTEAUX,EDC,SESAME - Programme Grande Ecole Bac + 5 - Global Sports Track - Talents,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,4,1,1
COURBEVOIE,EMLV,SESAME - Programme Grande Ecole Bac + 5 - International Track,150,46,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,3,3,2
COURBEVOIE,EMLV,Bachelor Business et Affaires Internationales,,,COMMERCE,SC. POLITIQUES RI,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,2,3,3
COURBEVOIE,EMLV,SESAME - Programme Grande Ecole Bac +5,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,2,3,2
PARIS - CLICHY,EM Normandie,SESAME PGE Campus de Clichy Track Anglophone,600,55,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,2,2,1
